method,path,classification,ui_observed,documented_source,note
POST,/backend/agency/banner/update,DOCUMENTED_UNVERIFIED,NO,代理管理后台/代理管理/代理设置/推广素材/编辑.bru,Not observed from the current role UI; absence is not STALE evidence
POST,/backend/agency/banner/update/state,DOCUMENTED_UNVERIFIED,NO,代理管理后台/推广素材/轮播图更新状态.bru,Not observed from the current role UI; absence is not STALE evidence
POST,/backend/agency/google/secret/update,DOCUMENTED_UNVERIFIED,NO,代理管理后台/后台账号管理/绑定谷歌令牌-seven.bru,Not observed from the current role UI; absence is not STALE evidence
POST,/backend/agency/login,ACTIVE,YES,代理管理后台/后台账号管理/后端账号登陆.bru,
POST,/backend/agency/login/auth,ACTIVE,YES,代理管理后台/后台账号管理/后端账号登陆（前置验证）-seven.bru,
POST,/backend/agency/member/retrieve/password,DOCUMENTED_UNVERIFIED,NO,代理管理后台/后台账号管理/后台会员密码otp重置.bru,Not observed from the current role UI; absence is not STALE evidence
POST,/backend/agency/sys/config/set,DOCUMENTED_UNVERIFIED,NO,代理管理后台/代理管理/代理设置/活跃会员/系统配置设置.bru,Not observed from the current role UI; absence is not STALE evidence
POST,/backend/agency/sys/config/update,DOCUMENTED_UNVERIFIED,NO,代理管理后台/代理管理/代理设置/代理开关/代理开关修改.bru,Not observed from the current role UI; absence is not STALE evidence
POST,/backend/agency/user/insert,DOCUMENTED_UNVERIFIED,NO,代理管理后台/后台账号管理/新增账户.bru,Not observed from the current role UI; absence is not STALE evidence
POST,/backend/agency/user/update,DOCUMENTED_UNVERIFIED,NO,代理管理后台/后台账号管理/修改账户信息.bru,Not observed from the current role UI; absence is not STALE evidence
POST,/backend/agency/user/update/password,DOCUMENTED_UNVERIFIED,NO,代理管理后台/后台账号管理/后台员工修改密码.bru,Not observed from the current role UI; absence is not STALE evidence
GET,/backend/agency/group/list,UNDOCUMENTED_ACTIVE,YES,,
POST,/backend/agency/user/list,MISCLASSIFIED,YES,代理管理后台/后台账号管理/后台账户列表.bru,method drift against agency-management documentation
