surface,menu,page,page_route,control_type,action,method,origin,normalized_path,query_fields,body_fields,parameter_sources,http_status,business_status,response_shape,auth_role,actual_side_effect,before_after_change,document_category,document_name,document_source,classification,currently_used,evidence,exception_blocked_scope,request_count
client,My,Account,/my,page,page initialization,GET,https://client-fat.filbet2025.com,/promo/turntable/num,,,header:t<-authenticated-session,200,true,"{""type"":""object"",""fields"":[""data"",""status""]}",authenticated client session (t header),none observed,not applicable/read-only,unknown/promo,剩余次数,活动/大转盘活动/剩余次数.bru,MISCLASSIFIED,yes,fat-client-network.json action=account__page_initialization; records=1258,,1
client,My,Account,/my,page,page initialization,GET,https://client-fat.filbet2025.com,/promo/vip/sign/in/config,,,header:t<-authenticated-session,200,true,"{""type"":""object"",""fields"":[""data"",""status""]}",authenticated client session (t header),none observed,not applicable/read-only,client/promo,签到配置,活动/Vip/签到配置.bru,ACTIVE,yes,fat-client-network.json action=account__page_initialization; records=1263|1270,,2
client,My,Account,/my,page,page initialization,POST,https://client-fat.filbet2025.com,/member/channel/trackclick,,,header:t<-authenticated-session,200,true,"{""type"":""object"",""fields"":[""data"",""status""]}",authenticated client session (t header),request emitted; no durable business change observed by this discovery action,no state identifier returned or persisted in sanitized evidence,client/member,渠道跟踪点击-todo,前台/渠道/渠道跟踪点击-todo.bru,ACTIVE,yes,fat-client-network.json action=account__page_initialization; records=1247,,1
client,My,Account,/my,page,page initialization,POST,https://web-pp6o4v.opoinstalljs.com,/web/pp6o4v/clientf/init2,av|channelCode|cv|hash|sh|sp|sw,,query:av|channelCode|cv|hash|sh|sp|sw<-page/filter/pagination/default,200,UNAVAILABLE,"""number""",guest or no auth header observed,request emitted; no durable business change observed by this discovery action,no state identifier returned or persisted in sanitized evidence,,,,THIRD_PARTY,yes,fat-client-network.json action=account__page_initialization; records=1271,,1
client,My,Account,/my,button,primary navigation/action,GET,https://client-fat.filbet2025.com,/finance/account/list,,,header:t<-authenticated-session,200,true,"{""type"":""object"",""fields"":[""data"",""status""]}",authenticated client session (t header),none observed,not applicable/read-only,client/finance,提款账户列表-wesley,前台/财务/提款账户列表-wesley.bru,ACTIVE,yes,fat-client-network.json action=account__primary_navigation_action; records=1282,,1
client,My,Account,/my,button,primary navigation/action,GET,https://client-fat.filbet2025.com,/finance/channel/list,mode,,header:t<-authenticated-session;query:mode<-page/filter/pagination/default,200,true,"{""type"":""object"",""fields"":[""data"",""status""]}",authenticated client session (t header),none observed,not applicable/read-only,client/finance,获取支付通道列表-wesley,前台/财务/获取支付通道列表-wesley.bru,ACTIVE,yes,fat-client-network.json action=account__primary_navigation_action; records=1283,,1
client,My,Account,/my,button,primary navigation/action,GET,https://client-fat.filbet2025.com,/finance/payment/tab/list,,,header:t<-authenticated-session,200,true,"{""type"":""object"",""fields"":[""data"",""status""]}",authenticated client session (t header),none observed,not applicable/read-only,client/finance,提现tab,前台/财务/提现tab.bru,ACTIVE,yes,fat-client-network.json action=account__primary_navigation_action; records=1284,,1
client,My,Account,/my,button,primary navigation/action,GET,https://client-fat.filbet2025.com,/member/detail,,,header:t<-authenticated-session,200,true,"{""type"":""object"",""fields"":[""data"",""status""]}",authenticated client session (t header),none observed,not applicable/read-only,client/member,获取会员信息-seven-aliang(20260424),前台/会员信息/获取会员信息-seven-aliang(20260424).bru,ACTIVE,yes,fat-client-network.json action=account__primary_navigation_action; records=1277|1280,,2
client,My,Account,/my,button,primary navigation/action,GET,https://client-fat.filbet2025.com,/member/kyc/detail,,,header:t<-authenticated-session,200,true,"{""type"":""object"",""fields"":[""data"",""status""]}",authenticated client session (t header),none observed,not applicable/read-only,client/kyc,获取 kyc 详情 -- double/cold,前台/kyc/获取 kyc 详情 -- double-cold.bru,ACTIVE,yes,fat-client-network.json action=account__primary_navigation_action; records=1276,,1
client,My,Account,/my,button,primary navigation/action,GET,https://client-fat.filbet2025.com,/promo/rotate/kyc/detail,,,header:t<-authenticated-session,200,true,"{""type"":""object"",""fields"":[""data"",""status""]}",authenticated client session (t header),none observed,not applicable/read-only,client/kyc,详情,活动/kyc送免费旋转/详情.bru,ACTIVE,yes,fat-client-network.json action=account__primary_navigation_action; records=1278|1279|1281,,3
client,My,Account,/my,button,primary navigation/action,POST,https://www.google-analytics.com,/g/collect,_eu|_p|_s|are|cid|dl|dma|dt|en|ep.page_env|frm|gcd|gtm|ngs|npa|pscdl|rcb|sct|seg|sid|sr|tag_exp|tfd|tid|uaa|uab|uafvl|uam|uamb|uap|uapv|uaw|ul|v,,query:_eu|_p|_s|are|cid|dl|dma|dt|en|ep.page_env|frm|gcd|gtm|ngs|npa|pscdl|rcb|sct|seg|sid|sr|tag_exp|tfd|tid|uaa|uab|uafvl|uam|uamb|uap|uapv|uaw|ul|v<-page/filter/pagination/default,204,UNAVAILABLE,"""null""",guest or no auth header observed,request emitted; no durable business change observed by this discovery action,no state identifier returned or persisted in sanitized evidence,,,,THIRD_PARTY,yes,fat-client-network.json action=account__primary_navigation_action; records=1285,,1
client,My,Bet History,/my,page,page initialization,GET,https://client-fat.filbet2025.com,/finance/wallet,,,header:t<-authenticated-session,200,true,"{""type"":""object"",""fields"":[""data"",""status""]}",authenticated client session (t header),none observed,not applicable/read-only,client/finance,会员钱包-wesley,前台/财务/会员钱包-wesley.bru,ACTIVE,yes,fat-client-network.json action=bet_history__page_initialization; records=1158|1180,,2
client,My,Bet History,/my,page,page initialization,GET,https://client-fat.filbet2025.com,/member/buriedPoint/detailV2,ad_id,,header:t<-authenticated-session;query:ad_id<-page/filter/pagination/default,200,true,"{""type"":""object"",""fields"":[""data"",""status""]}",authenticated client session (t header),none observed,not applicable/read-only,client/member,埋点详情V2-todo,前台/埋点/埋点详情V2-todo.bru,ACTIVE,yes,fat-client-network.json action=bet_history__page_initialization; records=1173,,1
client,My,Bet History,/my,page,page initialization,GET,https://client-fat.filbet2025.com,/member/detail,,,header:t<-authenticated-session,200,true,"{""type"":""object"",""fields"":[""data"",""status""]}",authenticated client session (t header),none observed,not applicable/read-only,client/member,获取会员信息-seven-aliang(20260424),前台/会员信息/获取会员信息-seven-aliang(20260424).bru,ACTIVE,yes,fat-client-network.json action=bet_history__page_initialization; records=1155|1161|1176,,3
