method,path,document_name,document_category,document_source,classification,ui_evidence,reason
GET,/member/bigprize/list,爆奖列表,client/member,前台/爆奖信息/爆奖列表.bru,ACTIVE,fat-client-network.json action=earn_filcoins__daily_task_go_6; records=724|fat-client-network.json action=earn_filcoins__daily_task_go_7; records=774|fat-client-network.json action=earn_filcoins__daily_task_go_8; records=824|fat-client-network.json action=home__page_initialization; records=145|fat-client-network.json action=home__refresh_balance; records=207|fat-client-network.json action=home_guest__page_initialization; records=10|fat-client-network.json action=login__page_initialization; records=55|fat-client-network.json action=login_success__password_login; records=105|fat-client-network.json action=register__page_initialization; records=78|fat-client-network.json action=sidebar__page_initialization; records=254|fat-client-network.json action=sidebar_guest__page_initialization; records=26,observed in FAT UI Network
GET,/member/buriedPoint/detail,埋点详情-todo,client/member,前台/埋点/埋点详情-todo.bru,DOCUMENTED_UNVERIFIED,,not observed in the current UI interaction coverage; reachability and staleness not yet proven
GET,/member/buriedPoint/detailV2,埋点详情V2-todo,client/member,前台/埋点/埋点详情V2-todo.bru,ACTIVE,fat-client-network.json action=account__page_initialization; records=1243|fat-client-network.json action=bet_history__page_initialization; records=1173|fat-client-network.json action=bonus__page_initialization; records=1214|fat-client-network.json action=deposit__page_initialization; records=1020|fat-client-network.json action=earn_filcoins__daily_task_go_1; records=507|fat-client-network.json action=earn_filcoins__daily_task_go_2; records=545|fat-client-network.json action=earn_filcoins__daily_task_go_3; records=583|fat-client-network.json action=earn_filcoins__daily_task_go_4; records=621|fat-client-network.json action=earn_filcoins__daily_task_go_5; records=659|fat-client-network.json action=earn_filcoins__daily_task_go_6; records=700|fat-client-network.json action=earn_filcoins__daily_task_go_7; records=747|fat-client-network.json action=earn_filcoins__daily_task_go_8; records=791|fat-client-network.json action=earn_filcoins__daily_task_go_9; records=847|fat-client-network.json action=earn_filcoins__page_initialization; records=475|fat-client-network.json action=filcoins_mall__page_initialization; records=891|fat-client-network.json action=free_spins__page_initialization; records=392|fat-client-network.json action=free_spins__start_first_free_spin_game; records=434|fat-client-network.json action=game__page_initialization; records=927|fat-client-network.json action=home__page_initialization; records=163|fat-client-network.json action=home__refresh_balance; records=197|fat-client-network.json action=home_guest__page_initialization; records=5|fat-client-network.json action=login__page_initialization; records=50|fat-client-network.json action=login_success__password_login; records=100|fat-client-network.json action=my__page_initialization; records=312|fat-client-network.json action=register__page_initialization; records=82|fat-client-network.json action=rewards__page_initialization; records=354|fat-client-network.json action=sidebar__page_initialization; records=244|fat-client-network.json action=sidebar_guest__page_initialization; records=35|fat-client-network.json action=transaction__page_initialization; records=1123|fat-client-network.json action=vip__page_initialization; records=967|fat-client-network.json action=withdraw__page_initialization; records=1076,observed in FAT UI Network
GET,/member/channel/detail,渠道详情-todo,client/member,前台/渠道/渠道详情-todo.bru,DOCUMENTED_UNVERIFIED,,not observed in the current UI interaction coverage; reachability and staleness not yet proven
GET,/member/detail,获取会员信息-seven-aliang(20260424),client/member,前台/会员信息/获取会员信息-seven-aliang(20260424).bru,ACTIVE,fat-client-network.json action=account__page_initialization; records=1246|1261|1267|fat-client-network.json action=account__primary_navigation_action; records=1277|1280|fat-client-network.json action=bet_history__page_initialization; records=1155|1161|1176|fat-client-network.json action=bonus__page_initialization; records=1196|1202|1217|fat-client-network.json action=deposit__page_initialization; records=1023|1029|1035|fat-client-network.json action=earn_filcoins__daily_task_go_1; records=510|fat-client-network.json action=earn_filcoins__daily_task_go_2; records=548|fat-client-network.json action=earn_filcoins__daily_task_go_3; records=586|fat-client-network.json action=earn_filcoins__daily_task_go_4; records=624|fat-client-network.json action=earn_filcoins__daily_task_go_5; records=662|fat-client-network.json action=earn_filcoins__daily_task_go_6; records=703|fat-client-network.json action=earn_filcoins__daily_task_go_7; records=750|fat-client-network.json action=earn_filcoins__daily_task_go_8; records=794|fat-client-network.json action=earn_filcoins__daily_task_go_9; records=850|fat-client-network.json action=earn_filcoins__page_initialization; records=478|fat-client-network.json action=filcoins_mall__page_initialization; records=894|fat-client-network.json action=free_spins__page_initialization; records=395|fat-client-network.json action=free_spins__start_first_free_spin_game; records=437|fat-client-network.json action=game__page_initialization; records=930|fat-client-network.json action=home__page_initialization; records=166|fat-client-network.json action=home__refresh_balance; records=200|fat-client-network.json action=login_success__password_login; records=122|fat-client-network.json action=my__page_initialization; records=293|299|315|fat-client-network.json action=rewards__page_initialization; records=357|fat-client-network.json action=sidebar__page_initialization; records=247|fat-client-network.json action=sidebar__primary_navigation_action; records=278|279|fat-client-network.json action=transaction__page_initialization; records=1108|1114|1126|fat-client-network.json action=vip__page_initialization; records=970|975|981|fat-client-network.json action=vip__primary_navigation_action; records=1001|1002|fat-client-network.json action=withdraw__page_initialization; records=1060|1066|1079,observed in FAT UI Network
GET,/member/facebook_link,facebook oauth链接-ducky,client/member,前台/会员信息/facebook oauth链接-ducky.bru,DOCUMENTED_UNVERIFIED,,not observed in the current UI interaction coverage; reachability and staleness not yet proven
GET,/member/faq,3-获取FAQ  -cold,client/game,前台/游戏/3-获取FAQ  -cold.bru,DOCUMENTED_UNVERIFIED,,not observed in the current UI interaction coverage; reachability and staleness not yet proven
GET,/member/fav/delete,删除游戏收藏-light,client/game,前台/游戏/删除游戏收藏-light.bru,DOCUMENTED_UNVERIFIED,,not observed in the current UI interaction coverage; reachability and staleness not yet proven
GET,/member/fav/insert,添加游戏收藏-light,client/game,前台/游戏/添加游戏收藏-light.bru,DOCUMENTED_UNVERIFIED,,not observed in the current UI interaction coverage; reachability and staleness not yet proven
GET,/member/fav/list,游戏收藏列表-light,client/game,前台/游戏/游戏收藏列表-light.bru,ACTIVE,fat-client-network.json action=account__page_initialization; records=1252|fat-client-network.json action=bet_history__page_initialization; records=1181|fat-client-network.json action=bonus__page_initialization; records=1224|fat-client-network.json action=deposit__page_initialization; records=1041|fat-client-network.json action=earn_filcoins__daily_task_go_1; records=519|fat-client-network.json action=earn_filcoins__daily_task_go_2; records=557|fat-client-network.json action=earn_filcoins__daily_task_go_3; records=595|fat-client-network.json action=earn_filcoins__daily_task_go_4; records=633|fat-client-network.json action=earn_filcoins__daily_task_go_5; records=671|fat-client-network.json action=earn_filcoins__daily_task_go_6; records=709|fat-client-network.json action=earn_filcoins__daily_task_go_7; records=759|fat-client-network.json action=earn_filcoins__daily_task_go_8; records=806|fat-client-network.json action=earn_filcoins__daily_task_go_9; records=859|fat-client-network.json action=earn_filcoins__page_initialization; records=482|fat-client-network.json action=filcoins_mall__page_initialization; records=903|fat-client-network.json action=free_spins__page_initialization; records=400|fat-client-network.json action=free_spins__start_first_free_spin_game; records=444|fat-client-network.json action=game__page_initialization; records=937|fat-client-network.json action=home__page_initialization; records=171|fat-client-network.json action=home__refresh_balance; records=219|fat-client-network.json action=login_success__password_login; records=125|fat-client-network.json action=my__page_initialization; records=322|fat-client-network.json action=rewards__page_initialization; records=361|fat-client-network.json action=sidebar__page_initialization; records=265|fat-client-network.json action=transaction__page_initialization; records=1137|fat-client-network.json action=vip__page_initialization; records=989|fat-client-network.json action=withdraw__page_initialization; records=1089,observed in FAT UI Network
