menu,page,page_route,action,control_type,status,final_url,request_count,error_or_blocker,evidence
Filcoins,Filcoins Mall,/s-points-v2,redeem first product,button,BLOCKED_DATA_SCOPE,https://client-fat.filbet2025.com/s-points-v2/mall,0,would consume existing member Filcoins; no balance created by this scan,fat-client-page-progress.json action=filcoins_mall__redeem_first_product
Game,Game,/s-game-category-v2/gameType/3,page initialization,page,COMPLETED,https://client-fat.filbet2025.com/s-game-category-v2/gameType/3,32,,fat-client-page-progress.json action=game__page_initialization
Game,Game,/s-game-category-v2/gameType/3,select Slot tab,tab,COMPLETED,https://client-fat.filbet2025.com/s-game-category-v2/gameType/3,4,,fat-client-page-progress.json action=game__select_slot_tab
Game,Game,/s-game-category-v2/gameType/3,select Live tab,tab,COMPLETED,https://client-fat.filbet2025.com/s-game-category-v2/gameType/1,1,,fat-client-page-progress.json action=game__select_live_tab
Game,Game,/s-game-category-v2/gameType/3,select Table tab,tab,COMPLETED,https://client-fat.filbet2025.com/s-game-category-v2/gameType/5,1,,fat-client-page-progress.json action=game__select_table_tab
Game,Game,/s-game-category-v2/gameType/3,select Arcade tab,tab,COMPLETED,https://client-fat.filbet2025.com/s-game-category-v2/gameType/6,2,,fat-client-page-progress.json action=game__select_arcade_tab
Game,Game,/s-game-category-v2/gameType/3,select Lottery tab,tab,COMPLETED,https://client-fat.filbet2025.com/s-game-category-v2/gameType/7,1,,fat-client-page-progress.json action=game__select_lottery_tab
Game,Game,/s-game-category-v2/gameType/3,open Sort By,filter,COMPLETED,https://client-fat.filbet2025.com/s-game-category-v2/gameType/7?sort=1,1,,fat-client-page-progress.json action=game__open_sort_by
Game,Game,/s-game-category-v2/gameType/3,sort Newest,filter,COMPLETED,https://client-fat.filbet2025.com/s-game-category-v2/gameType/7?sort=2,1,,fat-client-page-progress.json action=game__sort_newest
Game,Game,/s-game-category-v2/gameType/3,sort A-Z,filter,FAILED,https://client-fat.filbet2025.com/s-game-category-v2/gameType/7?sort=2,0,control not found: A-Z,fat-client-page-progress.json action=game__sort_a_z
Game,Game,/s-game-category-v2/gameType/3,sort Z-A,filter,FAILED,https://client-fat.filbet2025.com/s-game-category-v2/gameType/7?sort=2,0,control not found: Z-A,fat-client-page-progress.json action=game__sort_z_a
Game,Game,/s-game-category-v2/gameType/3,sort Popular,filter,FAILED,https://client-fat.filbet2025.com/s-game-category-v2/gameType/7?sort=2,0,control not found: Popular,fat-client-page-progress.json action=game__sort_popular
Game,Game,/s-game-category-v2/gameType/3,open Providers,filter,COMPLETED,https://client-fat.filbet2025.com/s-game-category-v2/providers/mi,1,,fat-client-page-progress.json action=game__open_providers
Game,Game,/s-game-category-v2/gameType/3,reset Providers,button,FAILED,https://client-fat.filbet2025.com/s-game-category-v2/providers/mi,0,control not found: Reset,fat-client-page-progress.json action=game__reset_providers
Game,Game,/s-game-category-v2/gameType/3,confirm Providers,button,FAILED,https://client-fat.filbet2025.com/s-game-category-v2/providers/mi,0,control not found: Confirm,fat-client-page-progress.json action=game__confirm_providers
Game,Game,/s-game-category-v2/gameType/3,scroll/load more,pagination,COMPLETED,https://client-fat.filbet2025.com/s-game-category-v2/providers/mi,0,,fat-client-page-progress.json action=game__scroll_load_more
VIP,VIP Center,/my,page initialization,page,COMPLETED,https://client-fat.filbet2025.com/my,42,,fat-client-page-progress.json action=vip__page_initialization
VIP,VIP Center,/my,primary navigation/action,button,COMPLETED,https://client-fat.filbet2025.com/s-vip-optimization-v2,10,,fat-client-page-progress.json action=vip__primary_navigation_action
My,Deposit,/my?action=deposit,page initialization,page,COMPLETED,https://client-fat.filbet2025.com/my?action=deposit,44,,fat-client-page-progress.json action=deposit__page_initialization
My,Deposit,/my?action=deposit,Deposit now,submit,BLOCKED_DATA_SCOPE,https://client-fat.filbet2025.com/my?action=deposit,0,no deposit order created by this scan; submitting would mutate an existing account without a scan-owned order chain,fat-client-page-progress.json action=deposit__deposit_now
My,Withdraw,/my?action=withdraw,page initialization,page,COMPLETED,https://client-fat.filbet2025.com/my?action=withdraw,49,,fat-client-page-progress.json action=withdraw__page_initialization
My,Withdraw,/my?action=withdraw,Withdraw Now,submit,BLOCKED_DATA_SCOPE,https://client-fat.filbet2025.com/my?action=withdraw,0,no scan-owned funds/order chain; submitting would mutate an existing account,fat-client-page-progress.json action=withdraw__withdraw_now
My,Transaction,/my,page initialization,page,COMPLETED,https://client-fat.filbet2025.com/my,42,,fat-client-page-progress.json action=transaction__page_initialization
My,Transaction,/my,primary navigation/action,button,COMPLETED,https://client-fat.filbet2025.com/transaction-record/transaction/deposit,1,,fat-client-page-progress.json action=transaction__primary_navigation_action
My,Transaction,/my,select Deposit tab,tab,COMPLETED,https://client-fat.filbet2025.com/transaction-record/transaction/deposit,0,,fat-client-page-progress.json action=transaction__select_deposit_tab
My,Transaction,/my,select Withdraw tab,tab,COMPLETED,https://client-fat.filbet2025.com/transaction-record/transaction/withdraw,1,,fat-client-page-progress.json action=transaction__select_withdraw_tab
My,Transaction,/my,select Adjustment tab,tab,FAILED,https://client-fat.filbet2025.com/transaction-record/transaction/withdraw,0,control not found: Adjustment,fat-client-page-progress.json action=transaction__select_adjustment_tab
My,Transaction,/my,select All tab,tab,FAILED,https://client-fat.filbet2025.com/transaction-record/transaction/withdraw,0,control not found: All,fat-client-page-progress.json action=transaction__select_all_tab
My,Transaction,/my,open All Status filter,filter,COMPLETED,https://client-fat.filbet2025.com/transaction-record/transaction/withdraw,1,,fat-client-page-progress.json action=transaction__open_all_status_filter
My,Transaction,/my,open Today filter,filter,COMPLETED,https://client-fat.filbet2025.com/transaction-record/transaction/withdraw,0,,fat-client-page-progress.json action=transaction__open_today_filter
My,Bet History,/my,page initialization,page,COMPLETED,https://client-fat.filbet2025.com/my,42,,fat-client-page-progress.json action=bet_history__page_initialization
My,Bet History,/my,primary navigation/action,button,COMPLETED,https://client-fat.filbet2025.com/bet-record,1,,fat-client-page-progress.json action=bet_history__primary_navigation_action
My,Bonus,/my,page initialization,page,COMPLETED,https://client-fat.filbet2025.com/my,42,,fat-client-page-progress.json action=bonus__page_initialization
My,Bonus,/my,primary navigation/action,button,COMPLETED,https://client-fat.filbet2025.com/transaction-record/bonus,1,,fat-client-page-progress.json action=bonus__primary_navigation_action
My,Account,/my,page initialization,page,COMPLETED,https://client-fat.filbet2025.com/my,42,,fat-client-page-progress.json action=account__page_initialization
My,Account,/my,primary navigation/action,button,COMPLETED,https://client-fat.filbet2025.com/withdraw-accounts,9,,fat-client-page-progress.json action=account__primary_navigation_action
My,Account,/my,add withdrawal account,button,BLOCKED_DATA_SCOPE,https://client-fat.filbet2025.com/withdraw-accounts,0,would add an account to an existing member; no member created by this scan,fat-client-page-progress.json action=account__add_withdrawal_account
